BENE_STATE_DESC,BENE_STATE_ABRVTN,BENE_COUNTY_DESC,BENE_FIPS_CD,BENE_GEO_LVL,YEAR,MONTH,TOT_BENES
New York,NY,Yates County,36123,County,2024,Year,6270
New York,NY,Unknown,36999,County,2024,Year,*
California,CA,Alameda County,06001,County,2020,Year,247909
California,CA,Alpine County,06003,County,2020,Year,265
California,CA,Amador County,06005,County,2020,Year,11758
California,CA,Butte County,06007,County,2020,Year,45906
California,CA,Calaveras County,06009,County,2020,Year,13387
California,CA,Colusa County,06011,County,2020,Year,3794
California,CA,Contra Costa County,06013,County,2020,Year,202615
California,CA,Del Norte County,06015,County,2020,Year,6365
California,CA,El Dorado County,06017,County,2020,Year,45874
California,CA,Fresno County,06019,County,2020,Year,145927
California,CA,Glenn County,06021,County,2020,Year,5759
California,CA,Humboldt County,06023,County,2020,Year,29518
California,CA,Imperial County,06025,County,2020,Year,32268
California,CA,Inyo County,06027,County,2020,Year,4550
California,CA,Kern County,06029,County,2020,Year,121003
California,CA,Kings County,06031,County,2020,Year,17934
California,CA,Lake County,06033,County,2020,Year,17325
California,CA,Lassen County,06035,County,2020,Year,5243
California,CA,Los Angeles County,06037,County,2020,Year,1525009
California,CA,Madera County,06039,County,2020,Year,24931
California,CA,Marin County,06041,County,2020,Year,59670
California,CA,Mariposa County,06043,County,2020,Year,4947
California,CA,Mendocino County,06045,County,2020,Year,23357
California,CA,Merced County,06047,County,2020,Year,37631
California,CA,Modoc County,06049,County,2020,Year,2572
California,CA,Mono County,06051,County,2020,Year,2016
California,CA,Monterey County,06053,County,2020,Year,66806
California,CA,Napa County,06055,County,2020,Year,29889
California,CA,Nevada County,06057,County,2020,Year,29969
California,CA,Orange County,06059,County,2020,Year,520140
California,CA,Placer County,06061,County,2020,Year,87235
California,CA,Plumas County,06063,County,2020,Year,6364
California,CA,Riverside County,06065,County,2020,Year,388967
California,CA,Sacramento County,06067,County,2020,Year,264502
California,CA,San Benito County,06069,County,2020,Year,9253
California,CA,San Bernardino County,06071,County,2020,Year,306571
California,CA,San Diego County,06073,County,2020,Year,544787
California,CA,San Francisco County,06075,County,2020,Year,149324
California,CA,San Joaquin County,06077,County,2020,Year,114709
California,CA,San Luis Obispo County,06079,County,2020,Year,65680
California,CA,San Mateo County,06081,County,2020,Year,128413
California,CA,Santa Barbara County,06083,County,2020,Year,78039
California,CA,Santa Clara County,06085,County,2020,Year,273553
California,CA,Santa Cruz County,06087,County,2020,Year,52233
California,CA,Shasta County,06089,County,2020,Year,47845
California,CA,Sierra County,06091,County,2020,Year,907
California,CA,Siskiyou County,06093,County,2020,Year,13717
California,CA,Solano County,06095,County,2020,Year,81567
California,CA,Sonoma County,06097,County,2020,Year,108155
California,CA,Stanislaus County,06099,County,2020,Year,88470
California,CA,Sutter County,06101,County,2020,Year,17821
California,CA,Tehama County,06103,County,2020,Year,15153
California,CA,Trinity County,06105,County,2020,Year,3550
California,CA,Tulare County,06107,County,2020,Year,64110
California,CA,Tuolumne County,06109,County,2020,Year,16032
California,CA,Ventura County,06111,County,2020,Year,153993
California,CA,Yolo County,06113,County,2020,Year,32690
California,CA,Yuba County,06115,County,2020,Year,13038
California,CA,Unknown,06999,County,2020,Year,*
California,CA,Alameda County,06001,County,2024,Year,267482
California,CA,Alpine County,06003,County,2024,Year,277
California,CA,Amador County,06005,County,2024,Year,12238
California,CA,Butte County,06007,County,2024,Year,47698
California,CA,Calaveras County,06009,County,2024,Year,14203
